"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"People","","US_07.003 Icon size","0","0","3","0","0"
"User","","US_13.008  Search","0","0","2","0","0"
"Header","","US_14.007 Username on header","0","0","2","0","0"
"Multibranch Pipeline","","US_05.003  Enable Multibranch pipeline","0","0","2","0","0"
"Pipeline","","US_02.003 Build now","0","0","3","0","0"
"User","","US_13.006  Sorting","0","0","4","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
"Jenkins API","","Build existed job with Json","0","0","3","0","0"
"Dashboard","","US_16.005 Sidebar Menu Items","0","0","2","0","0"
"Footer","","US_12.002 'Jenkins 2.440.2' button > Visibility, click ability and functionality","0","0","4","0","0"
"API Manage Jenkins Views","","Create View","0","0","1","0","0"
"Organization folder","","US_06.000  Create project","0","0","3","0","0"
"Dashboard","","US_16.006 Edit Dashboard Description","0","0","1","0","0"
"ApiRestAssuredTest2","","Search the project by name","0","0","1","0","0"
"API Manage Jenkins Views","","Create the pipeline project","0","0","1","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"ApiRestAssuredTest2","","Add description","0","0","2","0","0"
"Freestyle project","","US_01.003  Disable/Enable Project","0","0","2","0","0"
"Multibranch Pipeline","","US_05.006  Move Multibranch Pipeline","0","0","1","0","0"
"Multi-configuration project","","US_03.003 Delete project","0","0","3","0","0"
"Nodes","","US_15.005 Check list of Monitoring Data","0","0","1","0","0"
"Dashboard","","US_16.001 Start Page","0","0","1","0","0"
"Multibranch Pipeline","","US_05.007  Create Multibranch Pipeline from other existing","0","0","1","0","0"
"Apache http client Jenkins Api tests","","Delete job","0","0","2","0","0"
"API Manage Jenkins builds","","Reconfigure project builds","0","0","2","0","0"
"APITest","","","0","0","2","0","0"
"Freestyle project","","US_01.004  Delete project","0","0","3","0","0"
"Multibranch Pipeline","","US_05.002  View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"Nodes","","US_15.004 Check tooltips on Configure Node Monitors page","0","0","1","0","0"
"RestAssured Jenkins Api tests","","Read job","0","0","1","0","0"
"Header","","US_14.004  Warning item","0","0","3","0","0"
"Build History","","US_08.001 Start to build a project","0","0","2","0","0"
"Freestyle project","","US_01.007  Build now Project","0","0","1","0","0"
"Organization folder","","US_06.009  Add description to Organization Folder","0","0","1","0","0"
"Multibranch Pipeline","","US_05.001  Rename Multibranch pipeline","0","0","3","0","0"
"Freestyle project","","US_01.006  Change project description","0","0","3","0","0"
"Footer","","US_12.003 REST API link > Redirection","0","0","1","0","0"
"API Manage Jenkins builds","","Search the project by name","0","0","1","0","0"
"API Manage Jenkins Views","","Delete View","0","0","1","0","0"
"User","","US_13.007  Remotely trigger a job for current user","0","0","2","0","0"
"Pipeline","","US_02.008 Rename Pipeline","0","0","2","0","0"
"Dashboard","","US_16.004 Change Icon Size","0","0","1","0","0"
"Header","","US_14.006 Search-help (Question mark)","0","0","1","0","0"
"Jenkins API","","Test get jobs with Json ContentType","0","0","1","0","0"
"Header","","US_14.005  Entrance to the user's account","0","0","1","0","0"
